                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 3.0549,                 1.8431,                 1.0246,                0.37085,                0.61421,                0.46693,                0.09884,                 2.9496,                 1.4252,                 1.0002,               0.003664,               0.003664,               0.003664
                     66,                 3.1391,                 1.8441,                 1.0093,                0.37273,                0.42104,                0.43108,                 0.1092,                 2.9939,                 1.3735,                 1.0166,               0.003565,               0.003565,               0.003565
                     67,                 3.1828,                 1.8583,                0.99566,                0.35813,                0.41667,                0.41415,                0.09793,                 3.0412,                  1.369,                 1.0316,               0.003466,               0.003466,               0.003466
                     68,                 3.1452,                 1.8549,                 1.0162,                0.41469,                0.56121,                 0.4761,                0.10013,                 3.0251,                  1.458,                 1.0005,               0.003367,               0.003367,               0.003367
                     69,                 3.1603,                 1.8451,                 1.0352,                0.36374,                0.66698,                0.46108,                0.13121,                 2.9301,                 1.4575,                0.98178,               0.003268,               0.003268,               0.003268
                     70,                 3.2113,                 1.8411,                 1.0238,                0.43288,                  0.375,                0.37373,                0.08869,                 3.2502,                 1.4021,                  1.026,               0.003169,               0.003169,               0.003169
                     71,                 2.9931,                 1.8885,                 1.0156,                0.49182,                0.66667,                0.55945,                0.12629,                 3.0307,                 1.3322,                0.98643,                0.00307,                0.00307,                0.00307
                     72,                 3.1608,                 1.8208,                 1.0003,                0.48392,                    0.5,                0.43213,                0.09052,                 3.0473,                 1.3739,                 1.0139,               0.002971,               0.002971,               0.002971
                     73,                 3.1709,                 1.8305,                 1.0194,                0.43639,                0.54863,                0.40478,                0.10075,                 3.0754,                  1.365,                0.99497,               0.002872,               0.002872,               0.002872
                     74,                 3.1236,                 1.7924,                 1.0142,                0.52492,                0.54167,                0.46701,                0.11036,                 3.1563,                 1.3703,                 1.0016,               0.002773,               0.002773,               0.002773
                     75,                 3.1862,                 1.7736,                 1.0354,                0.46686,                0.45833,                0.35391,                0.07101,                 3.2628,                 1.3442,                 1.0206,               0.002674,               0.002674,               0.002674
                     76,                 3.1211,                 1.8866,                 1.0012,                0.59029,                0.58333,                0.54914,                0.10465,                 3.1798,                 1.3732,                 1.0111,               0.002575,               0.002575,               0.002575
                     77,                 3.1222,                 1.8165,                 1.0474,                0.54594,                0.58333,                0.44372,                0.09298,                 3.1305,                  1.398,                 1.0047,               0.002476,               0.002476,               0.002476
                     78,                 3.0093,                 1.7156,                0.98731,                0.53971,                0.73316,                 0.5753,                0.11086,                 3.1246,                 1.3567,                 1.0061,               0.002377,               0.002377,               0.002377
                     79,                 3.0448,                 1.8921,                 1.0378,                0.54677,                0.60359,                0.54838,                0.12657,                 3.0675,                 1.3315,                 1.0023,               0.002278,               0.002278,               0.002278
                     80,                 3.0318,                 1.8108,                0.98868,                0.54047,                   0.75,                0.55106,                0.12753,                 3.0688,                 1.2986,                0.99876,               0.002179,               0.002179,               0.002179
                     81,                 2.9816,                 1.7536,                 1.0248,                0.56718,                   0.75,                0.57972,                0.09702,                 3.1777,                 1.3063,                 1.0009,                0.00208,                0.00208,                0.00208
                     82,                 2.9811,                 1.7403,                0.97875,                0.55258,                0.66667,                0.55607,                0.10773,                 3.1065,                 1.2762,                  1.001,               0.001981,               0.001981,               0.001981
                     83,                 3.0807,                 1.7181,                 1.0075,                0.57273,                0.70833,                0.58978,                0.12261,                 3.0169,                 1.2683,                0.98734,               0.001882,               0.001882,               0.001882
                     84,                 2.8949,                 1.8793,                 1.0001,                0.57145,                0.66667,                0.57548,                0.10736,                 3.0738,                 1.3535,                0.99518,               0.001783,               0.001783,               0.001783
